date,date_key,year,day_of_year,day_of_month,iso_day_of_week,day_name_pt,week_of_year,month,year_month,month_name,quarter,quarter_name,semester,trimestre,is_weekend
2020-01-01,20200101,2020,1,1,3,quarta-feira,1,1,2020-01,Janeiro,1,Q1,1,T1,False
2020-01-02,20200102,2020,2,2,4,quinta-feira,1,1,2020-01,Janeiro,1,Q1,1,T1,False
2020-01-03,20200103,2020,3,3,5,sexta-feira,1,1,2020-01,Janeiro,1,Q1,1,T1,False
2020-01-04,20200104,2020,4,4,6,sábado,1,1,2020-01,Janeiro,1,Q1,1,T1,True
2020-01-05,20200105,2020,5,5,7,domingo,1,1,2020-01,Janeiro,1,Q1,1,T1,True
2020-01-06,20200106,2020,6,6,1,segunda-feira,2,1,2020-01,Janeiro,1,Q1,1,T1,False
2020-01-07,20200107,2020,7,7,2,terça-feira,2,1,2020-01,Janeiro,1,Q1,1,T1,False
2020-01-08,20200108,2020,8,8,3,quarta-feira,2,1,2020-01,Janeiro,1,Q1,1,T1,False
2020-01-09,20200109,2020,9,9,4,quinta-feira,2,1,2020-01,Janeiro,1,Q1,1,T1,False
2020-01-10,20200110,2020,10,10,5,sexta-feira,2,1,2020-01,Janeiro,1,Q1,1,T1,False
2020-01-11,20200111,2020,11,11,6,sábado,2,1,2020-01,Janeiro,1,Q1,1,T1,True
2020-01-12,20200112,2020,12,12,7,domingo,2,1,2020-01,Janeiro,1,Q1,1,T1,True
2020-01-13,20200113,2020,13,13,1,segunda-feira,3,1,2020-01,Janeiro,1,Q1,1,T1,False
2020-01-14,20200114,2020,14,14,2,terça-feira,3,1,2020-01,Janeiro,1,Q1,1,T1,False
2020-01-15,20200115,2020,15,15,3,quarta-feira,3,1,2020-01,Janeiro,1,Q1,1,T1,False
2020-01-16,20200116,2020,16,16,4,quinta-feira,3,1,2020-01,Janeiro,1,Q1,1,T1,False
2020-01-17,20200117,2020,17,17,5,sexta-feira,3,1,2020-01,Janeiro,1,Q1,1,T1,False
2020-01-18,20200118,2020,18,18,6,sábado,3,1,2020-01,Janeiro,1,Q1,1,T1,True
2020-01-19,20200119,2020,19,19,7,domingo,3,1,2020-01,Janeiro,1,Q1,1,T1,True
2020-01-20,20200120,2020,20,20,1,segunda-feira,4,1,2020-01,Janeiro,1,Q1,1,T1,False
2020-01-21,20200121,2020,21,21,2,terça-feira,4,1,2020-01,Janeiro,1,Q1,1,T1,False
2020-01-22,20200122,2020,22,22,3,quarta-feira,4,1,2020-01,Janeiro,1,Q1,1,T1,False
2020-01-23,20200123,2020,23,23,4,quinta-feira,4,1,2020-01,Janeiro,1,Q1,1,T1,False
2020-01-24,20200124,2020,24,24,5,sexta-feira,4,1,2020-01,Janeiro,1,Q1,1,T1,False
2020-01-25,20200125,2020,25,25,6,sábado,4,1,2020-01,Janeiro,1,Q1,1,T1,True
2020-01-26,20200126,2020,26,26,7,domingo,4,1,2020-01,Janeiro,1,Q1,1,T1,True
2020-01-27,20200127,2020,27,27,1,segunda-feira,5,1,2020-01,Janeiro,1,Q1,1,T1,False
2020-01-28,20200128,2020,28,28,2,terça-feira,5,1,2020-01,Janeiro,1,Q1,1,T1,False
2020-01-29,20200129,2020,29,29,3,quarta-feira,5,1,2020-01,Janeiro,1,Q1,1,T1,False
2020-01-30,20200130,2020,30,30,4,quinta-feira,5,1,2020-01,Janeiro,1,Q1,1,T1,False
2020-01-31,20200131,2020,31,31,5,sexta-feira,5,1,2020-01,Janeiro,1,Q1,1,T1,False
2020-02-01,20200201,2020,32,1,6,sábado,5,2,2020-02,Fevereiro,1,Q1,1,T1,True
2020-02-02,20200202,2020,33,2,7,domingo,5,2,2020-02,Fevereiro,1,Q1,1,T1,True
2020-02-03,20200203,2020,34,3,1,segunda-feira,6,2,2020-02,Fevereiro,1,Q1,1,T1,False
2020-02-04,20200204,2020,35,4,2,terça-feira,6,2,2020-02,Fevereiro,1,Q1,1,T1,False
2020-02-05,20200205,2020,36,5,3,quarta-feira,6,2,2020-02,Fevereiro,1,Q1,1,T1,False
2020-02-06,20200206,2020,37,6,4,quinta-feira,6,2,2020-02,Fevereiro,1,Q1,1,T1,False
2020-02-07,20200207,2020,38,7,5,sexta-feira,6,2,2020-02,Fevereiro,1,Q1,1,T1,False
2020-02-08,20200208,2020,39,8,6,sábado,6,2,2020-02,Fevereiro,1,Q1,1,T1,True
2020-02-09,20200209,2020,40,9,7,domingo,6,2,2020-02,Fevereiro,1,Q1,1,T1,True
2020-02-10,20200210,2020,41,10,1,segunda-feira,7,2,2020-02,Fevereiro,1,Q1,1,T1,False
2020-02-11,20200211,2020,42,11,2,terça-feira,7,2,2020-02,Fevereiro,1,Q1,1,T1,False
2020-02-12,20200212,2020,43,12,3,quarta-feira,7,2,2020-02,Fevereiro,1,Q1,1,T1,False
2020-02-13,20200213,2020,44,13,4,quinta-feira,7,2,2020-02,Fevereiro,1,Q1,1,T1,False
2020-02-14,20200214,2020,45,14,5,sexta-feira,7,2,2020-02,Fevereiro,1,Q1,1,T1,False
2020-02-15,20200215,2020,46,15,6,sábado,7,2,2020-02,Fevereiro,1,Q1,1,T1,True
2020-02-16,20200216,2020,47,16,7,domingo,7,2,2020-02,Fevereiro,1,Q1,1,T1,True
2020-02-17,20200217,2020,48,17,1,segunda-feira,8,2,2020-02,Fevereiro,1,Q1,1,T1,False
2020-02-18,20200218,2020,49,18,2,terça-feira,8,2,2020-02,Fevereiro,1,Q1,1,T1,False
2020-02-19,20200219,2020,50,19,3,quarta-feira,8,2,2020-02,Fevereiro,1,Q1,1,T1,False
2020-02-20,20200220,2020,51,20,4,quinta-feira,8,2,2020-02,Fevereiro,1,Q1,1,T1,False
2020-02-21,20200221,2020,52,21,5,sexta-feira,8,2,2020-02,Fevereiro,1,Q1,1,T1,False
2020-02-22,20200222,2020,53,22,6,sábado,8,2,2020-02,Fevereiro,1,Q1,1,T1,True
2020-02-23,20200223,2020,54,23,7,domingo,8,2,2020-02,Fevereiro,1,Q1,1,T1,True
2020-02-24,20200224,2020,55,24,1,segunda-feira,9,2,2020-02,Fevereiro,1,Q1,1,T1,False
2020-02-25,20200225,2020,56,25,2,terça-feira,9,2,2020-02,Fevereiro,1,Q1,1,T1,False
2020-02-26,20200226,2020,57,26,3,quarta-feira,9,2,2020-02,Fevereiro,1,Q1,1,T1,False
