product_variant_id,product_id,sku,barcode_ean,sale_price,cost_price,weight_kg,icms_rate,ipi_rate,is_active_variant,product_name,description,brand_id,category_id,ncm_code,unit_of_measure,is_active_product,category_name,slug,parent_category_id,is_active_category,brand_name,country,is_active_brand
1,1,LHN-353137,812356442423.0,2452.69,1409.59,17.466,18.0,5.0,True,Motor de Popa 6014,Motor de popa 4 tempos para embarcações de lazer,9,9,50675645,UN,True,Acessórios de Convés,acessorios-de-conves,2.0,True,Volvo Penta,JP,True
2,1,LHN-424236,2876604560688.0,1057.68,482.96,38.9,18.0,10.0,True,Motor de Popa 6014,Motor de popa 4 tempos para embarcações de lazer,9,9,50675645,UN,True,Acessórios de Convés,acessorios-de-conves,2.0,True,Volvo Penta,JP,True
3,1,LHN-680793,4024712687768.0,36.65,27.15,27.526,17.0,5.0,True,Motor de Popa 6014,Motor de popa 4 tempos para embarcações de lazer,9,9,50675645,UN,True,Acessórios de Convés,acessorios-de-conves,2.0,True,Volvo Penta,JP,True
4,2,LHN-869444,6530427111637.0,2111.04,1486.65,10.215,12.0,10.0,True,Vela Mestra 3870,Vela mestra em dacron para veleiros 32 pés,10,13,19180016,UN,True,SEGURANÇA,seguranca,2.0,True,MaxSea,JP,True
5,2,LHN-152723,8463512311255.0,1425.34,662.95,32.302,12.0,0.0,True,Vela Mestra 3870,Vela mestra em dacron para veleiros 32 pés,10,13,19180016,UN,True,SEGURANÇA,seguranca,2.0,True,MaxSea,JP,True
6,2,LHN-833831,,2505.2,1897.88,11.387,17.0,10.0,True,Vela Mestra 3870,Vela mestra em dacron para veleiros 32 pés,10,13,19180016,UN,True,SEGURANÇA,seguranca,2.0,True,MaxSea,JP,True
7,3,LHN-635877,,136.02,85.01,46.207,18.0,10.0,True,Tinta Antifouling 5479,Tinta antiincrustante 3.6L para casco,4,4,26507166,L,True,Motores,motores,3.0,True,Honda Marine,,True
8,3,LHN-825942,8874758361346.0,522.87,378.89,5.0,18.0,0.0,True,Tinta Antifouling 5479,Tinta antiincrustante 3.6L para casco,4,4,26507166,L,True,Motores,motores,3.0,True,Honda Marine,,True
9,4,LHN-149282,,3194.63,1655.25,16.735,18.0,10.0,True,Sonar Transducer 9933,Transdutor de sonar para profundidade,5,10,87920921,UN,True,Iluminação,iluminacao,1.0,True,Garmin,,True
10,4,LHN-597798,859294692350.0,1185.69,718.6,5.576,17.0,10.0,True,Sonar Transducer 9933,Transdutor de sonar para profundidade,5,10,87920921,UN,True,Iluminação,iluminacao,1.0,True,Garmin,,True
11,5,LHN-139240,,1838.76,1114.4,42.148,12.0,10.0,True,Bússola de Bordo 3641,Bússola magnética líquida com iluminação,4,6,78779264,UN,True,Velas,velas,3.0,True,Honda Marine,,True
12,5,LHN-300634,,817.89,475.52,8.389,12.0,0.0,True,Bússola de Bordo 3641,Bússola magnética líquida com iluminação,4,6,78779264,UN,True,Velas,velas,3.0,True,Honda Marine,,True
13,5,LHN-673210,9543420136115.0,1114.92,644.46,9.03,12.0,10.0,True,Bússola de Bordo 3641,Bússola magnética líquida com iluminação,4,6,78779264,UN,True,Velas,velas,3.0,True,Honda Marine,,True
14,6,LHN-117236,6232970206722.0,4208.4,1994.5,26.979,18.0,5.0,True,Defensa Náutica 7487,Defensa cilíndrica em PVC,10,3,36883895,PC,True,Coletes Salva-Vidas,coletes-salva-vidas,,True,MaxSea,JP,True
15,6,LHN-660514,8260397619861.0,725.45,352.16,18.126,12.0,5.0,True,Defensa Náutica 7487,Defensa cilíndrica em PVC,10,3,36883895,PC,True,Coletes Salva-Vidas,coletes-salva-vidas,,True,MaxSea,JP,True
16,6,LHN-754714,1554679565456.0,1705.81,1254.27,32.164,18.0,10.0,True,Defensa Náutica 7487,Defensa cilíndrica em PVC,10,3,36883895,PC,True,Coletes Salva-Vidas,coletes-salva-vidas,,True,MaxSea,JP,True
