return_item_id,return_id,order_item_id,quantity,action,exchange_variant_id,unit_refund_amount
1,1,129232,5.0,refund,,1200.87
2,2,147166,1.0,refund,,2277.61
3,2,147164,2.0,exchange,900.0,0.0
4,3,14624,6.0,refund,,3163.03
5,4,78070,6.0,exchange,418.0,0.0
6,5,115534,2.0,refund,,2535.8
7,6,56592,4.0,refund,,3447.79
8,7,134056,1.0,refund,,1770.44
9,8,131067,8.0,exchange,339.0,0.0
10,9,69545,2.0,refund,,1370.36
11,10,13412,4.0,refund,,69.33
12,11,109657,3.0,exchange,254.0,0.0
13,11,109656,2.0,exchange,680.0,0.0
14,12,9541,3.0,exchange,548.0,0.0
15,13,31122,4.0,refund,,431.48
16,13,31121,7.0,exchange,122.0,0.0
17,14,25263,1.0,refund,,3536.51
18,14,25265,1.0,refund,,2433.21
19,15,125252,1.0,refund,,1603.57
20,15,125249,3.0,refund,,2403.32
21,16,9822,4.0,refund,,1140.17
22,16,9820,3.0,refund,,3751.57
23,17,117041,1.0,refund,,3045.41
24,18,39898,6.0,refund,,544.34
25,18,39897,3.0,refund,,1360.44
26,19,23930,1.0,refund,,2013.71
27,20,52640,6.0,exchange,63.0,0.0
28,20,52641,1.0,refund,,1826.97
29,21,77806,3.0,refund,,1610.84
30,22,125370,1.0,refund,,3536.51
31,23,130117,4.0,exchange,815.0,0.0
32,23,130118,3.0,refund,,409.45
33,24,12892,1.0,exchange,946.0,0.0
34,24,12893,1.0,exchange,658.0,0.0
35,25,117746,7.0,refund,,2692.1
36,26,22526,8.0,refund,,1371.86
37,27,10863,8.0,refund,,2276.42
38,28,62308,8.0,refund,,672.8
39,29,98656,1.0,refund,,1276.93
40,30,5121,8.0,refund,,1310.13
41,31,129126,9.0,exchange,322.0,0.0
42,32,78165,1.0,refund,,2501.65
43,32,78164,4.0,exchange,655.0,0.0
44,33,549,5.0,refund,,695.61
45,34,149000,4.0,refund,,1475.54
46,34,148999,2.0,refund,,1178.62
47,35,2609,1.0,exchange,239.0,0.0
48,36,132215,2.0,refund,,1006.34
49,36,132217,1.0,refund,,516.75
50,37,974,5.0,exchange,597.0,0.0
51,38,131304,3.0,refund,,2637.77
52,38,131303,6.0,refund,,2659.65
53,39,129707,2.0,refund,,2481.91
54,40,62089,2.0,refund,,1102.6
55,40,62088,2.0,refund,,407.01
56,41,42223,2.0,refund,,1854.12
57,42,27890,2.0,refund,,806.12
58,43,12470,1.0,refund,,539.43
59,43,12468,3.0,exchange,341.0,0.0
60,44,141063,2.0,refund,,1048.92
61,45,59897,6.0,refund,,1094.61
63,47,34998,1.0,exchange,985.0,0.0
64,47,34996,1.0,refund,,2156.0
65,48,57016,2.0,refund,,1433.22
66,49,138847,1.0,refund,,1813.06
67,49,138848,1.0,refund,,3065.65
68,50,38265,1.0,refund,,391.94
69,50,38268,2.0,exchange,366.0,0.0
70,51,78215,8.0,refund,,3372.27
71,52,140675,4.0,refund,,1724.28
72,52,140677,5.0,refund,,1609.83
73,53,133096,4.0,refund,,1726.63
74,53,133095,1.0,refund,,2036.26
75,54,96221,6.0,exchange,570.0,0.0
76,54,96222,2.0,refund,,103.95
77,55,75475,1.0,refund,,2138.38
78,56,70067,4.0,refund,,1848.51
79,56,70068,1.0,refund,,2247.99
80,57,101340,5.0,refund,,2601.68
81,58,95934,4.0,refund,,1674.37
82,58,95933,1.0,refund,,2063.82
83,59,149108,1.0,refund,,2526.33
84,59,149111,1.0,exchange,712.0,0.0
85,60,120389,7.0,refund,,2809.14
86,60,120388,1.0,refund,,2640.24
87,61,84725,8.0,refund,,2632.87
88,62,16940,1.0,refund,,314.18
89,62,16944,2.0,refund,,3648.57
90,63,89655,2.0,exchange,688.0,0.0
91,63,89653,8.0,refund,,1307.41
92,64,98092,7.0,refund,,2142.5
93,64,98093,1.0,exchange,849.0,0.0
94,65,98907,1.0,refund,,3685.42
95,66,110556,1.0,refund,,1035.0
96,66,110557,1.0,refund,,2084.13
97,67,106968,1.0,refund,,1028.21
98,68,1836,1.0,refund,,522.87
99,69,139163,2.0,exchange,492.0,0.0
100,69,139164,10.0,refund,,2552.53
101,70,16110,1.0,exchange,412.0,0.0
102,71,68736,3.0,refund,,208.08
103,71,68735,2.0,refund,,242.94
104,72,23115,4.0,refund,,1320.3
105,72,23114,6.0,refund,,2916.3
106,73,61414,6.0,refund,,538.89
107,74,19140,8.0,refund,,190.17
108,74,19141,6.0,exchange,636.0,0.0
109,75,76864,7.0,refund,,3892.05
110,75,76867,2.0,refund,,2108.46
111,76,80293,6.0,exchange,311.0,0.0
112,76,80294,1.0,exchange,993.0,0.0
113,77,91080,2.0,refund,,1536.13
114,78,46079,2.0,refund,,2133.34
117,80,39563,2.0,refund,,1472.59
118,81,62740,3.0,exchange,665.0,0.0
119,81,62738,1.0,refund,,2301.52
120,82,145917,4.0,exchange,659.0,0.0
121,83,60917,1.0,refund,,2402.23
122,84,113087,8.0,exchange,300.0,0.0
123,85,115540,3.0,refund,,1737.68
124,86,9684,1.0,refund,,3529.0
125,87,56980,1.0,refund,,2963.37
126,88,58716,1.0,refund,,2868.84
127,89,122471,3.0,refund,,3280.48
128,89,122470,6.0,exchange,996.0,0.0
129,90,145825,7.0,refund,,1838.76
130,91,141379,2.0,refund,,2979.2
131,92,44351,1.0,refund,,1621.91
132,93,101520,1.0,refund,,3730.87
133,93,101518,4.0,refund,,654.46
134,94,29297,1.0,refund,,52.57
135,95,80977,4.0,refund,,869.52
136,96,131479,1.0,refund,,3685.42
137,96,131478,2.0,refund,,3084.28
138,97,107620,4.0,exchange,481.0,0.0
139,97,107621,2.0,refund,,69.33
140,98,126717,3.0,refund,,2565.48
141,99,17807,1.0,refund,,1653.2
142,100,114772,7.0,exchange,715.0,0.0
143,100,114771,3.0,refund,,711.87
144,101,138915,2.0,refund,,916.04
145,102,146462,1.0,refund,,658.74
146,103,126267,1.0,refund,,2300.24
147,104,10111,3.0,refund,,2179.03
148,105,23650,4.0,exchange,692.0,0.0
149,106,104827,1.0,refund,,2563.85
150,107,67043,5.0,exchange,452.0,0.0
151,108,136529,1.0,exchange,804.0,0.0
152,109,59224,5.0,refund,,1891.34
153,109,59225,3.0,refund,,3040.55
154,110,121721,4.0,refund,,1625.59
155,111,145094,1.0,exchange,532.0,0.0
156,112,98014,3.0,refund,,1432.75
157,112,98013,1.0,refund,,1729.09
158,113,125973,1.0,exchange,148.0,0.0
159,113,125974,1.0,refund,,1362.27
160,114,83359,2.0,refund,,1380.77
161,115,53805,1.0,refund,,1149.14
162,116,79769,1.0,exchange,809.0,0.0
163,116,79766,2.0,refund,,2839.11
164,117,89236,7.0,refund,,2364.78
165,118,38858,4.0,refund,,1609.83
166,119,108184,5.0,refund,,4026.81
167,119,108187,2.0,exchange,969.0,0.0
168,120,1625,2.0,refund,,1920.15
169,121,22740,1.0,refund,,2118.14
170,121,22736,1.0,refund,,2665.92
171,122,10244,3.0,refund,,2758.2
172,122,10242,1.0,exchange,868.0,0.0
173,123,80830,4.0,refund,,1609.83
174,123,80829,7.0,refund,,103.11
175,124,147334,2.0,refund,,1069.38
176,124,147336,1.0,exchange,483.0,0.0
177,125,129947,1.0,refund,,36.65
178,126,112069,1.0,refund,,2247.99
179,127,99445,1.0,refund,,594.44
180,128,45453,2.0,exchange,308.0,0.0
181,129,98449,3.0,exchange,877.0,0.0
182,130,45016,2.0,refund,,1466.35
183,130,45017,1.0,refund,,1370.36
184,131,80446,1.0,exchange,266.0,0.0
185,132,146120,3.0,refund,,960.29
186,133,21163,8.0,refund,,2148.39
187,134,80839,3.0,refund,,1486.53
188,135,24518,1.0,refund,,2783.63
189,136,5539,6.0,exchange,187.0,0.0
190,137,36757,1.0,exchange,334.0,0.0
191,138,53003,6.0,exchange,868.0,0.0
192,139,140063,4.0,refund,,431.48
193,140,47865,5.0,exchange,453.0,0.0
194,140,47864,5.0,refund,,3107.16
195,141,107904,2.0,exchange,834.0,0.0
196,141,107903,1.0,refund,,2363.8
197,142,68638,10.0,refund,,1038.6
198,142,68637,4.0,exchange,760.0,0.0
199,143,33486,2.0,refund,,2433.05
200,144,19728,3.0,refund,,1628.81
201,144,19729,1.0,refund,,1343.06
202,145,19623,2.0,exchange,974.0,0.0
203,146,39208,2.0,refund,,1854.12
204,147,19723,5.0,refund,,544.34
205,148,129743,1.0,exchange,182.0,0.0
206,149,74832,4.0,exchange,991.0,0.0
207,150,113846,3.0,refund,,3685.42
208,151,89056,1.0,refund,,964.88
209,151,89058,3.0,exchange,346.0,0.0
211,153,16206,1.0,refund,,920.67
212,154,62571,2.0,refund,,380.46
213,155,14092,8.0,refund,,2156.0
214,155,14091,1.0,exchange,533.0,0.0
215,156,79712,3.0,refund,,2704.24
216,156,79713,2.0,exchange,145.0,0.0
217,157,15475,5.0,refund,,1858.79
218,158,29022,2.0,refund,,1252.68
219,158,29021,4.0,refund,,2412.74
220,159,113530,1.0,refund,,868.09
221,160,57234,1.0,refund,,1425.15
222,160,57232,1.0,exchange,868.0,0.0
223,161,134784,1.0,refund,,865.53
224,162,37368,1.0,refund,,2079.95
225,163,102291,2.0,exchange,5.0,0.0
226,164,65209,2.0,refund,,1380.77
227,165,58370,2.0,refund,,1403.13
228,166,126027,1.0,refund,,509.32
229,167,110650,1.0,exchange,195.0,0.0
230,168,62177,1.0,refund,,984.7
231,169,125460,3.0,exchange,597.0,0.0
232,170,139571,7.0,exchange,291.0,0.0
233,171,40020,1.0,refund,,1639.82
234,171,40019,6.0,exchange,445.0,0.0
235,172,61547,5.0,refund,,1476.81
236,173,128613,5.0,refund,,410.74
237,173,128612,2.0,refund,,296.78
240,176,147141,1.0,refund,,2612.73
241,177,101717,2.0,refund,,1071.58
242,177,101718,5.0,refund,,2426.65
243,178,26926,3.0,refund,,1049.51
244,179,102891,6.0,exchange,48.0,0.0
245,180,44579,5.0,refund,,1148.81
246,181,95153,1.0,refund,,1330.2
247,181,95154,9.0,refund,,2428.81
248,182,61247,6.0,exchange,791.0,0.0
249,183,134110,1.0,refund,,2763.78
250,184,133374,1.0,exchange,516.0,0.0
251,184,133375,1.0,refund,,2845.64
252,185,120931,3.0,refund,,2369.21
253,186,113809,3.0,refund,,1611.17
254,186,113808,8.0,refund,,836.28
255,187,111834,6.0,exchange,414.0,0.0
256,188,148618,3.0,refund,,1425.34
257,188,148620,5.0,refund,,1569.62
258,189,46931,2.0,refund,,973.54
259,189,46929,5.0,refund,,1586.92
260,190,83229,2.0,refund,,259.1
261,191,75188,2.0,exchange,796.0,0.0
262,192,85939,4.0,refund,,1735.78
263,193,65080,6.0,refund,,1907.91
264,194,78041,2.0,refund,,1458.18
265,195,111859,2.0,refund,,2334.45
266,195,111858,3.0,exchange,435.0,0.0
267,196,19180,2.0,refund,,1563.67
268,197,64041,2.0,refund,,1274.13
269,198,56023,3.0,refund,,1310.13
270,199,136379,2.0,refund,,2495.19
271,200,108312,8.0,refund,,2149.95
272,200,108314,4.0,refund,,439.93
273,201,93998,1.0,refund,,1891.34
274,202,121093,3.0,exchange,540.0,0.0
275,203,143048,2.0,exchange,955.0,0.0
276,203,143046,7.0,refund,,3983.4
277,204,54582,3.0,exchange,311.0,0.0
278,205,22174,1.0,exchange,737.0,0.0
279,206,1804,1.0,refund,,2428.81
280,206,1802,3.0,exchange,568.0,0.0
281,207,26459,2.0,exchange,466.0,0.0
282,207,26458,4.0,refund,,3243.15
283,208,16211,4.0,exchange,314.0,0.0
284,208,16212,4.0,refund,,2433.05
285,209,133434,1.0,refund,,2189.02
287,211,104162,2.0,refund,,3157.69
288,212,143248,4.0,refund,,3507.03
289,213,79443,1.0,exchange,948.0,0.0
290,214,142270,3.0,exchange,729.0,0.0
291,215,46714,5.0,exchange,951.0,0.0
292,216,54550,1.0,refund,,2217.71
293,217,60051,2.0,exchange,912.0,0.0
294,218,148955,1.0,exchange,546.0,0.0
295,219,38624,6.0,refund,,2513.67
296,220,49651,1.0,exchange,243.0,0.0
297,221,55573,1.0,refund,,212.31
298,222,104783,2.0,refund,,1446.19
299,222,104784,1.0,refund,,1420.38
300,223,112984,2.0,refund,,2118.14
301,223,112983,2.0,refund,,531.03
302,224,55351,1.0,exchange,170.0,0.0
303,224,55352,3.0,refund,,2433.05
304,225,2102,2.0,exchange,298.0,0.0
305,226,146446,1.0,refund,,1359.18
306,227,38617,2.0,refund,,3004.2
307,228,101837,6.0,refund,,1677.29
308,228,101836,3.0,refund,,1165.56
309,229,109507,6.0,refund,,3796.83
310,229,109510,2.0,refund,,1796.67
311,230,149124,1.0,exchange,328.0,0.0
312,230,149123,1.0,refund,,2785.44
313,231,84944,2.0,refund,,806.12
314,231,84942,1.0,refund,,1744.87
315,232,53168,1.0,exchange,335.0,0.0
316,233,14775,6.0,exchange,512.0,0.0
317,234,6109,3.0,refund,,1137.61
318,235,122275,1.0,refund,,3732.21
319,235,122277,1.0,exchange,386.0,0.0
320,236,6404,9.0,refund,,3004.2
321,237,113413,2.0,refund,,1541.68
322,238,88661,1.0,refund,,274.35
323,238,88662,2.0,refund,,3447.79
324,239,30919,6.0,refund,,1284.51
325,240,73843,6.0,refund,,713.36
326,241,66447,1.0,refund,,1078.27
327,242,5150,6.0,exchange,348.0,0.0
330,245,48893,9.0,exchange,397.0,0.0
331,246,146453,3.0,exchange,178.0,0.0
332,247,125523,1.0,exchange,771.0,0.0
333,248,27045,5.0,refund,,2736.28
334,249,36462,3.0,refund,,1517.55
335,250,78846,3.0,refund,,1137.61
336,250,78847,4.0,refund,,162.93
337,251,34076,1.0,refund,,1776.02
338,251,34077,3.0,refund,,2133.34
339,252,74890,7.0,exchange,235.0,0.0
340,252,74892,6.0,exchange,682.0,0.0
341,253,28559,6.0,exchange,333.0,0.0
342,254,143699,1.0,refund,,431.13
343,255,124957,3.0,refund,,256.91
344,256,98616,8.0,refund,,272.66
345,256,98615,1.0,exchange,777.0,0.0
346,257,119649,10.0,refund,,2874.99
347,258,101536,1.0,refund,,1742.58
348,259,109731,1.0,refund,,1636.08
349,259,109733,2.0,refund,,500.79
350,260,17099,4.0,refund,,588.8
351,261,57379,1.0,refund,,2217.71
352,261,57380,4.0,exchange,515.0,0.0
353,262,134047,10.0,exchange,666.0,0.0
354,263,142679,7.0,refund,,3004.2
355,263,142681,6.0,refund,,594.44
356,264,73934,4.0,refund,,407.01
357,264,73933,3.0,refund,,3785.94
358,265,99660,4.0,exchange,363.0,0.0
359,266,14326,1.0,refund,,2954.61
360,267,48219,4.0,refund,,2326.21
361,267,48217,1.0,refund,,3102.21
362,268,34816,1.0,exchange,180.0,0.0
363,268,34818,4.0,exchange,12.0,0.0
364,269,93305,1.0,exchange,596.0,0.0
365,270,76257,3.0,refund,,848.55
366,270,76256,2.0,exchange,613.0,0.0
367,271,91570,5.0,refund,,1309.93
368,271,91571,2.0,refund,,885.32
369,272,136425,2.0,refund,,2219.2
370,272,136426,1.0,refund,,919.27
371,273,54560,9.0,refund,,2328.88
372,273,54561,4.0,refund,,2546.56
373,274,33661,1.0,refund,,1781.99
374,274,33660,3.0,exchange,766.0,0.0
375,275,29489,1.0,exchange,828.0,0.0
376,276,107137,4.0,refund,,1553.87
379,278,93632,8.0,refund,,477.39
380,278,93633,2.0,refund,,839.41
381,279,71345,1.0,refund,,212.31
382,280,34664,8.0,refund,,1048.92
383,280,34665,4.0,refund,,3157.67
384,281,13303,9.0,refund,,2315.5
385,282,47874,1.0,exchange,101.0,0.0
386,283,12778,1.0,exchange,976.0,0.0
387,283,12779,4.0,exchange,615.0,0.0
388,284,91049,5.0,refund,,798.36
389,285,19443,1.0,refund,,1501.07
390,285,19444,3.0,refund,,3083.67
391,286,47740,1.0,refund,,1149.6
392,287,100499,2.0,refund,,1724.28
393,287,100498,1.0,refund,,1023.33
394,288,7709,4.0,exchange,514.0,0.0
395,288,7710,1.0,refund,,1611.17
396,289,1911,2.0,refund,,2844.46
397,290,3972,4.0,exchange,125.0,0.0
398,291,81952,2.0,refund,,1874.85
399,292,58859,2.0,refund,,1352.38
400,292,58861,5.0,refund,,3733.72
401,293,125463,4.0,refund,,1019.75
402,293,125464,3.0,exchange,479.0,0.0
403,294,112467,4.0,refund,,2476.76
404,294,112466,4.0,refund,,1569.81
405,295,92075,3.0,refund,,487.86
406,296,111935,7.0,refund,,2476.49
407,297,51460,5.0,refund,,767.13
408,297,51461,6.0,exchange,229.0,0.0
409,298,114838,5.0,refund,,390.46
410,298,114837,2.0,refund,,616.77
411,299,129286,2.0,refund,,1211.36
412,300,75081,6.0,exchange,157.0,0.0
413,301,129301,1.0,exchange,382.0,0.0
414,302,149115,1.0,refund,,1907.91
415,303,14792,1.0,refund,,2066.47
416,303,14794,5.0,refund,,1489.6
417,304,23303,1.0,refund,,2758.2
418,304,23302,1.0,refund,,1360.44
419,305,34490,1.0,refund,,1970.92
420,306,13633,4.0,exchange,396.0,0.0
421,307,314,5.0,exchange,1006.0,0.0
422,307,311,5.0,refund,,1049.34
423,308,117274,5.0,refund,,2363.8
424,308,117275,2.0,refund,,3157.67
425,309,136009,4.0,refund,,1907.91
426,309,136010,4.0,refund,,1744.87
427,310,122015,5.0,refund,,1052.21
428,311,58585,9.0,refund,,1936.17
429,311,58586,4.0,refund,,283.33
430,312,146685,7.0,refund,,1896.85
431,313,99667,5.0,refund,,924.9
432,314,101173,4.0,refund,,71.33
433,314,101174,1.0,refund,,1571.43
434,315,106447,4.0,exchange,408.0,0.0
435,316,117452,2.0,refund,,1610.84
436,317,125760,2.0,refund,,410.74
437,318,130038,1.0,refund,,391.96
438,318,130040,5.0,refund,,586.74
439,319,108942,2.0,refund,,2979.2
440,320,110681,5.0,refund,,1501.07
441,320,110682,3.0,exchange,957.0,0.0
442,321,40168,1.0,refund,,3373.9
443,321,40169,1.0,refund,,1185.69
444,322,107815,8.0,refund,,718.84
445,323,29967,2.0,refund,,2877.89
446,323,29965,2.0,refund,,2115.76
447,324,70701,6.0,refund,,1475.97
448,324,70697,2.0,refund,,1486.53
449,325,4430,6.0,refund,,2476.49
450,326,55996,8.0,refund,,1480.82
